Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2017,2017,2017,2,0,1,Import,251,France,FRA,251,France,FRA,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,34502,,,0
H5,2017,2017,2017,2,0,4,Re-Import,251,France,FRA,251,France,FRA,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,34502,,,0
H5,2017,2017,2017,2,0,1,Import,251,France,FRA,276,Germany,DEU,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,15603877,,,0
H5,2017,2017,2017,2,0,2,Export,251,France,FRA,276,Germany,DEU,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,68856646,,,0
H5,2017,2017,2017,2,0,1,Import,251,France,FRA,616,Poland,POL,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,465051,,,0
H5,2017,2017,2017,2,0,2,Export,251,France,FRA,616,Poland,POL,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,11166643,,,0
H5,2017,2017,2017,2,0,1,Import,251,France,FRA,724,Spain,ESP,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,30019965,,,0
H5,2017,2017,2017,2,0,2,Export,251,France,FRA,724,Spain,ESP,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,339454971,,,0
H5,2017,2017,2017,2,0,1,Import,251,France,FRA,826,United Kingdom,GBR,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,76451875,,,0
H5,2017,2017,2017,2,0,2,Export,251,France,FRA,826,United Kingdom,GBR,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,105767241,,,0
H5,2017,2017,2017,2,0,1,Import,276,Germany,DEU,251,France,FRA,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,58197394,,,4
H5,2017,2017,2017,2,0,2,Export,276,Germany,DEU,251,France,FRA,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,12359084,,,0
H5,2017,2017,2017,2,0,1,Import,276,Germany,DEU,616,Poland,POL,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,73548807,,,0
H5,2017,2017,2017,2,0,2,Export,276,Germany,DEU,616,Poland,POL,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,110709318,,,0
H5,2017,2017,2017,2,0,1,Import,276,Germany,DEU,724,Spain,ESP,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,6611575,,,0
H5,2017,2017,2017,2,0,2,Export,276,Germany,DEU,724,Spain,ESP,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,33507788,,,0
H5,2017,2017,2017,2,0,1,Import,276,Germany,DEU,826,United Kingdom,GBR,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,22864321,,,0
H5,2017,2017,2017,2,0,2,Export,276,Germany,DEU,826,United Kingdom,GBR,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,13818966,,,0
H5,2017,2017,2017,2,0,1,Import,616,Poland,POL,251,France,FRA,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,5133694,,,4
H5,2017,2017,2017,2,0,2,Export,616,Poland,POL,251,France,FRA,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,215,,,4
H5,2017,2017,2017,2,0,1,Import,616,Poland,POL,276,Germany,DEU,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,79068057,,,4
H5,2017,2017,2017,2,0,2,Export,616,Poland,POL,276,Germany,DEU,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,31131866,,,0
